2021-03-04 01:33:57.246 | INFO     | engine:on_end_batch:476 - Epoch: [0][0/1972]	Time 10.719 (10.719)	Data 1.765 (1.765)	Loss 1.9961 (1.9961)
2021-03-04 01:37:39.929 | INFO     | engine:on_end_batch:476 - Epoch: [0][500/1972]	Time 0.457 (0.466)	Data 0.002 (0.006)	Loss 0.0245 (0.0400)
2021-03-04 01:41:24.395 | INFO     | engine:on_end_batch:476 - Epoch: [0][1000/1972]	Time 0.462 (0.457)	Data 0.001 (0.005)	Loss 0.0287 (0.0334)
2021-03-04 01:45:09.252 | INFO     | engine:on_end_batch:476 - Epoch: [0][1500/1972]	Time 0.420 (0.455)	Data 0.001 (0.004)	Loss 0.0230 (0.0311)
2021-03-04 01:48:44.010 | INFO     | engine:on_end_batch:476 - Epoch: [1][0/1972]	Time 2.205 (2.205)	Data 1.558 (1.558)	Loss 0.0269 (0.0269)
2021-03-04 01:52:25.869 | INFO     | engine:on_end_batch:476 - Epoch: [1][500/1972]	Time 0.444 (0.447)	Data 0.001 (0.005)	Loss 0.0232 (0.0252)
2021-03-04 01:56:08.073 | INFO     | engine:on_end_batch:476 - Epoch: [1][1000/1972]	Time 0.450 (0.446)	Data 0.001 (0.004)	Loss 0.0231 (0.0249)
2021-03-04 01:59:50.330 | INFO     | engine:on_end_batch:476 - Epoch: [1][1500/1972]	Time 0.478 (0.445)	Data 0.002 (0.004)	Loss 0.0248 (0.0245)
2021-03-04 02:03:21.518 | INFO     | engine:on_end_batch:476 - Epoch: [2][0/1972]	Time 2.122 (2.122)	Data 1.541 (1.541)	Loss 0.0219 (0.0219)
2021-03-04 02:07:04.449 | INFO     | engine:on_end_batch:476 - Epoch: [2][500/1972]	Time 0.415 (0.449)	Data 0.001 (0.005)	Loss 0.0212 (0.0231)
2021-03-04 02:10:49.084 | INFO     | engine:on_end_batch:476 - Epoch: [2][1000/1972]	Time 0.422 (0.449)	Data 0.001 (0.004)	Loss 0.0184 (0.0230)
2021-03-04 02:14:33.521 | INFO     | engine:on_end_batch:476 - Epoch: [2][1500/1972]	Time 0.447 (0.449)	Data 0.001 (0.004)	Loss 0.0198 (0.0228)
2021-03-04 02:18:07.053 | INFO     | engine:on_end_batch:476 - Epoch: [3][0/1972]	Time 2.273 (2.273)	Data 1.757 (1.757)	Loss 0.0224 (0.0224)
2021-03-04 02:21:49.294 | INFO     | engine:on_end_batch:476 - Epoch: [3][500/1972]	Time 0.499 (0.448)	Data 0.001 (0.006)	Loss 0.0225 (0.0218)
2021-03-04 02:25:30.987 | INFO     | engine:on_end_batch:476 - Epoch: [3][1000/1972]	Time 0.424 (0.446)	Data 0.001 (0.004)	Loss 0.0223 (0.0218)
2021-03-04 02:29:13.447 | INFO     | engine:on_end_batch:476 - Epoch: [3][1500/1972]	Time 0.428 (0.445)	Data 0.001 (0.004)	Loss 0.0213 (0.0217)
2021-03-04 02:32:45.423 | INFO     | engine:on_end_batch:476 - Epoch: [4][0/1972]	Time 1.968 (1.968)	Data 1.394 (1.394)	Loss 0.0182 (0.0182)
2021-03-04 02:36:28.195 | INFO     | engine:on_end_batch:476 - Epoch: [4][500/1972]	Time 0.423 (0.449)	Data 0.001 (0.005)	Loss 0.0185 (0.0212)
2021-03-04 02:40:12.326 | INFO     | engine:on_end_batch:476 - Epoch: [4][1000/1972]	Time 0.472 (0.448)	Data 0.002 (0.004)	Loss 0.0194 (0.0211)
2021-03-04 02:43:57.470 | INFO     | engine:on_end_batch:476 - Epoch: [4][1500/1972]	Time 0.452 (0.449)	Data 0.002 (0.004)	Loss 0.0204 (0.0211)
2021-03-04 02:47:31.028 | INFO     | engine:on_end_batch:476 - Epoch: [5][0/1972]	Time 2.091 (2.091)	Data 1.465 (1.465)	Loss 0.0209 (0.0209)
2021-03-04 02:51:12.927 | INFO     | engine:on_end_batch:476 - Epoch: [5][500/1972]	Time 0.413 (0.447)	Data 0.003 (0.005)	Loss 0.0226 (0.0207)
2021-03-04 02:54:56.626 | INFO     | engine:on_end_batch:476 - Epoch: [5][1000/1972]	Time 0.420 (0.447)	Data 0.001 (0.004)	Loss 0.0232 (0.0206)
2021-03-04 02:58:42.844 | INFO     | engine:on_end_batch:476 - Epoch: [5][1500/1972]	Time 0.473 (0.449)	Data 0.001 (0.004)	Loss 0.0226 (0.0206)
2021-03-04 03:02:17.048 | INFO     | engine:on_end_batch:476 - Epoch: [6][0/1972]	Time 2.036 (2.036)	Data 1.448 (1.448)	Loss 0.0210 (0.0210)
2021-03-04 03:05:57.463 | INFO     | engine:on_end_batch:476 - Epoch: [6][500/1972]	Time 0.456 (0.444)	Data 0.002 (0.005)	Loss 0.0193 (0.0203)
2021-03-04 03:09:40.335 | INFO     | engine:on_end_batch:476 - Epoch: [6][1000/1972]	Time 0.431 (0.445)	Data 0.001 (0.004)	Loss 0.0200 (0.0203)
2021-03-04 03:13:24.527 | INFO     | engine:on_end_batch:476 - Epoch: [6][1500/1972]	Time 0.539 (0.446)	Data 0.002 (0.004)	Loss 0.0173 (0.0203)
2021-03-04 03:16:56.813 | INFO     | engine:on_end_batch:476 - Epoch: [7][0/1972]	Time 2.259 (2.259)	Data 1.747 (1.747)	Loss 0.0213 (0.0213)
2021-03-04 03:20:38.920 | INFO     | engine:on_end_batch:476 - Epoch: [7][500/1972]	Time 0.459 (0.448)	Data 0.001 (0.006)	Loss 0.0190 (0.0200)
2021-03-04 03:24:21.319 | INFO     | engine:on_end_batch:476 - Epoch: [7][1000/1972]	Time 0.425 (0.446)	Data 0.002 (0.004)	Loss 0.0162 (0.0199)
2021-03-04 03:28:04.418 | INFO     | engine:on_end_batch:476 - Epoch: [7][1500/1972]	Time 0.424 (0.446)	Data 0.001 (0.004)	Loss 0.0205 (0.0199)
2021-03-04 03:31:36.804 | INFO     | engine:on_end_batch:476 - Epoch: [8][0/1972]	Time 2.241 (2.241)	Data 1.737 (1.737)	Loss 0.0203 (0.0203)
2021-03-04 03:35:18.550 | INFO     | engine:on_end_batch:476 - Epoch: [8][500/1972]	Time 0.432 (0.447)	Data 0.001 (0.005)	Loss 0.0204 (0.0197)
2021-03-04 03:39:00.810 | INFO     | engine:on_end_batch:476 - Epoch: [8][1000/1972]	Time 0.442 (0.446)	Data 0.001 (0.004)	Loss 0.0234 (0.0197)
2021-03-04 03:42:43.453 | INFO     | engine:on_end_batch:476 - Epoch: [8][1500/1972]	Time 0.445 (0.446)	Data 0.001 (0.004)	Loss 0.0160 (0.0197)
2021-03-04 03:46:15.640 | INFO     | engine:on_end_batch:476 - Epoch: [9][0/1972]	Time 2.124 (2.124)	Data 1.559 (1.559)	Loss 0.0237 (0.0237)
2021-03-04 03:49:57.205 | INFO     | engine:on_end_batch:476 - Epoch: [9][500/1972]	Time 0.413 (0.446)	Data 0.001 (0.005)	Loss 0.0215 (0.0196)
2021-03-04 03:53:39.829 | INFO     | engine:on_end_batch:476 - Epoch: [9][1000/1972]	Time 0.458 (0.446)	Data 0.001 (0.004)	Loss 0.0211 (0.0195)
2021-03-04 03:57:25.692 | INFO     | engine:on_end_batch:476 - Epoch: [9][1500/1972]	Time 0.474 (0.448)	Data 0.001 (0.004)	Loss 0.0200 (0.0195)
2021-03-04 04:00:59.249 | INFO     | engine:on_end_batch:476 - Epoch: [10][0/1972]	Time 2.246 (2.246)	Data 1.537 (1.537)	Loss 0.0208 (0.0208)
2021-03-04 04:04:40.285 | INFO     | engine:on_end_batch:476 - Epoch: [10][500/1972]	Time 0.411 (0.446)	Data 0.002 (0.005)	Loss 0.0234 (0.0192)
2021-03-04 04:08:21.658 | INFO     | engine:on_end_batch:476 - Epoch: [10][1000/1972]	Time 0.456 (0.444)	Data 0.001 (0.004)	Loss 0.0189 (0.0193)
2021-03-04 04:12:04.518 | INFO     | engine:on_end_batch:476 - Epoch: [10][1500/1972]	Time 0.464 (0.445)	Data 0.001 (0.004)	Loss 0.0191 (0.0192)
2021-03-04 04:15:36.729 | INFO     | engine:on_end_batch:476 - Epoch: [11][0/1972]	Time 2.053 (2.053)	Data 1.483 (1.483)	Loss 0.0193 (0.0193)
2021-03-04 04:19:18.555 | INFO     | engine:on_end_batch:476 - Epoch: [11][500/1972]	Time 0.423 (0.447)	Data 0.001 (0.005)	Loss 0.0187 (0.0190)
2021-03-04 04:23:01.007 | INFO     | engine:on_end_batch:476 - Epoch: [11][1000/1972]	Time 0.438 (0.446)	Data 0.001 (0.004)	Loss 0.0203 (0.0190)
2021-03-04 04:26:44.715 | INFO     | engine:on_end_batch:476 - Epoch: [11][1500/1972]	Time 0.453 (0.446)	Data 0.002 (0.004)	Loss 0.0154 (0.0190)
2021-03-04 04:30:17.711 | INFO     | engine:on_end_batch:476 - Epoch: [12][0/1972]	Time 2.171 (2.171)	Data 1.583 (1.583)	Loss 0.0176 (0.0176)
2021-03-04 04:33:59.448 | INFO     | engine:on_end_batch:476 - Epoch: [12][500/1972]	Time 0.460 (0.447)	Data 0.001 (0.005)	Loss 0.0168 (0.0191)
2021-03-04 04:37:40.393 | INFO     | engine:on_end_batch:476 - Epoch: [12][1000/1972]	Time 0.443 (0.444)	Data 0.001 (0.004)	Loss 0.0203 (0.0189)
2021-03-04 04:41:22.992 | INFO     | engine:on_end_batch:476 - Epoch: [12][1500/1972]	Time 0.415 (0.445)	Data 0.001 (0.004)	Loss 0.0154 (0.0189)
2021-03-04 04:44:54.547 | INFO     | engine:on_end_batch:476 - Epoch: [13][0/1972]	Time 2.049 (2.049)	Data 1.452 (1.452)	Loss 0.0175 (0.0175)
2021-03-04 04:48:38.317 | INFO     | engine:on_end_batch:476 - Epoch: [13][500/1972]	Time 0.420 (0.451)	Data 0.001 (0.005)	Loss 0.0157 (0.0188)
2021-03-04 04:52:21.350 | INFO     | engine:on_end_batch:476 - Epoch: [13][1000/1972]	Time 0.568 (0.448)	Data 0.001 (0.004)	Loss 0.0162 (0.0187)
